lemma_,count,pos,lemma,freq,number_of_meanings,pos_fr,etymology,age
galvaniser@VERB,543,VERB,galvaniser,1.0341784571755909e-06,4.0,verbe,1799.0,221.0
isolateur@NOUN,232,NOUN,isolateur,4.4185893566249926e-07,2.0,substantif,1783.0,237.0
géomorphologique@ADJ,334,ADJ,géomorphologique,6.361245022037705e-07,1.0,adjectif,1962.0,58.0
snack@NOUN,193,NOUN,snack,3.6758092492613087e-07,2.0,substantif,1933.0,87.0
clignotant@NOUN,249,NOUN,clignotant,4.7423653008604447e-07,4.0,substantif,1546.0,474.0
valorise@VERB,541,VERB,valorise,1.0303693284198798e-06,1.0,verbe,1925.0,95.0
nerveusement@ADV,107,ADV,nerveusement,2.0378838843054923e-07,2.0,adverbe,1583.0,437.0
plaquage@NOUN,431,NOUN,plaquage,8.208672468557637e-07,6.0,substantif,1864.0,156.0
quantum@NOUN,484,NOUN,quantum,9.218091588821106e-07,1.0,substantif,1624.0,396.0
protectionniste@ADJ,467,ADJ,protectionniste,8.894315644585654e-07,2.0,adjectif,1845.0,175.0
aber@NOUN,597,NOUN,aber,1.1370249335797934e-06,1.0,substantif,1751.0,269.0
gymnique@ADJ,251,ADJ,gymnique,4.780456588417557e-07,3.0,adjectif,1542.0,478.0
vidanger@VERB,147,VERB,vidanger,2.7997096354477325e-07,1.0,verbe,1578.0,442.0
évacuateur@NOUN,117,NOUN,évacuateur,2.2283403220910523e-07,1.0,substantif,1825.0,195.0
hospodar@NOUN,204,NOUN,hospodar,3.8853113308254244e-07,1.0,substantif,1663.0,357.0
tatare@ADJ,161,ADJ,tatare,3.0663486483475166e-07,1.0,adjectif,1765.0,255.0
décrépitude@NOUN,221,NOUN,décrépitude,4.2090872750608764e-07,2.0,substantif,1564.0,456.0
réadapter@VERB,222,VERB,réadapter,4.2281329188394324e-07,1.0,verbe,1899.0,121.0
nobiliaire@NOUN,107,NOUN,nobiliaire,2.0378838843054923e-07,2.0,substantif,1673.0,347.0
vocaliste@NOUN,151,NOUN,vocaliste,2.8758922105619564e-07,1.0,substantif,1842.0,178.0
pigmentation@NOUN,388,NOUN,pigmentation,7.389709786079729e-07,1.0,substantif,1865.0,155.0
claquer@VERB,486,VERB,claquer,9.256182876378218e-07,3.0,verbe,1508.0,512.0
océanien@ADJ,443,ADJ,océanien,8.437220193900309e-07,1.0,adjectif,1716.0,304.0
monégasque@NOUN,246,NOUN,monégasque,4.685228369524777e-07,1.0,substantif,1721.0,299.0
dumping@NOUN,159,NOUN,dumping,3.0282573607904047e-07,3.0,substantif,1904.0,116.0
interviewe@VERB,164,VERB,interviewe,3.1234855796831845e-07,1.0,verbe,1883.0,137.0
bavard@ADJ,212,ADJ,bavard,4.0376764810538727e-07,2.0,adjectif,1532.0,488.0
monomère@NOUN,511,NOUN,monomère,9.732323970842118e-07,1.0,substantif,1817.0,203.0
glycol@NOUN,315,NOUN,glycol,5.999377790245141e-07,1.0,substantif,1856.0,164.0
sélectivement@ADV,147,ADV,sélectivement,2.7997096354477325e-07,1.0,adverbe,1872.0,148.0
méthionine@NOUN,175,NOUN,méthionine,3.3329876612473007e-07,1.0,substantif,1928.0,92.0
